description;id;kilometrage;price;region;telephone;url;vendeur;version;year
;1036934364;10064;14000;ile_de_france;NaN;https://www.leboncoin.fr/voitures/1036934364.htm?ca=12_s;;LIFE TYPE 2;2016
;1036491233;19500;12000;ile_de_france;NaN;https://www.leboncoin.fr/voitures/1036491233.htm?ca=12_s;;ZEN ;2015
;1035061660;2500;23512;ile_de_france;0183799570;https://www.leboncoin.fr/voitures/1035061660.htm?ca=12_s;;INTENS;2016
;1034575248;30000;9600;ile_de_france;NaN;https://www.leboncoin.fr/voitures/1034575248.htm?ca=12_s;;INTENS ;2013
;1035061272;100;16890;ile_de_france;0183799570;https://www.leboncoin.fr/voitures/1035061272.htm?ca=12_s;;ZEN TYPE 2;2016
;990711542;11494;10990;ile_de_france;0174704406;https://www.leboncoin.fr/voitures/990711542.htm?ca=12_s;;LIFE ;2015
;1021894763;17791;10190;ile_de_france;0176455461;https://www.leboncoin.fr/voitures/1021894763.htm?ca=12_s;;ZEN ;2014
;1021932515;1000;17100;ile_de_france;0805805802;https://www.leboncoin.fr/voitures/1021932515.htm?ca=12_s;;INTENS ;2016
;1021932499;2000;21490;ile_de_france;0805805802;https://www.leboncoin.fr/voitures/1021932499.htm?ca=12_s;;LIFE TYPE 2;2016
;990328036;7569;11290;ile_de_france;0175448159;https://www.leboncoin.fr/voitures/990328036.htm?ca=12_s;;LIFE;2015
;996062730;1000;17100;ile_de_france;0805805802;https://www.leboncoin.fr/voitures/996062730.htm?ca=12_s;;INTENS ;2016
;996062702;2000;21490;ile_de_france;0805805802;https://www.leboncoin.fr/voitures/996062702.htm?ca=12_s;;LIFE TYPE 2;2016
;1006229113;10;13490;ile_de_france;0182714652;https://www.leboncoin.fr/voitures/1006229113.htm?ca=12_s;;LIFE TYPE 2;2016
;1032643293;3000;15490;ile_de_france;0805805802;https://www.leboncoin.fr/voitures/1032643293.htm?ca=12_s;;INTENS ;2016
