year;url_c;version;argus
2013;http://www.lacentrale.fr/cote-auto-renault-zoe-intens+charge+rapide-2013.html;INTENS CHARGE RAPIDE;10496.0
2013;http://www.lacentrale.fr/cote-auto-renault-zoe-intens+charge+rapide+type+2-2013.html;INTENS CHARGE RAPIDE TYPE 2;10547.0
2013;http://www.lacentrale.fr/cote-auto-renault-zoe-life+charge+rapide-2013.html;LIFE CHARGE RAPIDE;9974.0
2013;http://www.lacentrale.fr/cote-auto-renault-zoe-life+charge+rapide+type+2-2013.html;LIFE CHARGE RAPIDE TYPE 2;10027.0
2013;http://www.lacentrale.fr/cote-auto-renault-zoe-zen+charge+rapide-2013.html;ZEN CHARGE RAPIDE;10315.0
2013;http://www.lacentrale.fr/cote-auto-renault-zoe-zen+charge+rapide+type+2-2013.html;ZEN CHARGE RAPIDE TYPE 2;10367.0
2016;http://www.lacentrale.fr/cote-auto-renault-zoe-edition+one+charge+rapide+gamme+2017-2016.html;EDITION ONE CHARGE RAPIDE GAMME 2017;15677.0
2016;http://www.lacentrale.fr/cote-auto-renault-zoe-edition+one+gamme+2017-2016.html;EDITION ONE GAMME 2017;15590.0
2016;http://www.lacentrale.fr/cote-auto-renault-zoe-intens+charge+rapide+gamme+2017-2016.html;INTENS CHARGE RAPIDE GAMME 2017;14875.0
2016;http://www.lacentrale.fr/cote-auto-renault-zoe-intens+charge+rapide+type+2-2016.html;INTENS CHARGE RAPIDE TYPE 2;14359.0
2016;http://www.lacentrale.fr/cote-auto-renault-zoe-intens+gamme+2017-2016.html;INTENS GAMME 2017;14779.0
2016;http://www.lacentrale.fr/cote-auto-renault-zoe-intens+type+2-2016.html;INTENS TYPE 2;14256.0
2016;http://www.lacentrale.fr/cote-auto-renault-zoe-life+charge+rapide+type+2-2016.html;LIFE CHARGE RAPIDE TYPE 2;13651.0
2016;http://www.lacentrale.fr/cote-auto-renault-zoe-life+type+2-2016.html;LIFE TYPE 2;13538.0
2016;http://www.lacentrale.fr/cote-auto-renault-zoe-zen+charge+rapide+gamme+2017-2016.html;ZEN CHARGE RAPIDE GAMME 2017;14602.0
2016;http://www.lacentrale.fr/cote-auto-renault-zoe-zen+charge+rapide+type+2-2016.html;ZEN CHARGE RAPIDE TYPE 2;14114.0
2016;http://www.lacentrale.fr/cote-auto-renault-zoe-zen+gamme+2017-2016.html;ZEN GAMME 2017;14501.0
2016;http://www.lacentrale.fr/cote-auto-renault-zoe-zen+type+2-2016.html;ZEN TYPE 2;14007.0
2014;http://www.lacentrale.fr/cote-auto-renault-zoe-intens+charge+rapide-2014.html;INTENS CHARGE RAPIDE;11633.0
2014;http://www.lacentrale.fr/cote-auto-renault-zoe-intens+charge+rapide+type+2-2014.html;INTENS CHARGE RAPIDE TYPE 2;11690.0
2014;http://www.lacentrale.fr/cote-auto-renault-zoe-life+charge+rapide-2014.html;LIFE CHARGE RAPIDE;11054.0
2014;http://www.lacentrale.fr/cote-auto-renault-zoe-life+charge+rapide+type+2-2014.html;LIFE CHARGE RAPIDE TYPE 2;11113.0
2014;http://www.lacentrale.fr/cote-auto-renault-zoe-zen+charge+rapide-2014.html;ZEN CHARGE RAPIDE;11433.0
2014;http://www.lacentrale.fr/cote-auto-renault-zoe-zen+charge+rapide+type+2-2014.html;ZEN CHARGE RAPIDE TYPE 2;11490.0
2015;http://www.lacentrale.fr/cote-auto-renault-zoe-intens-2015.html;INTENS;12735.0
2015;http://www.lacentrale.fr/cote-auto-renault-zoe-intens+charge+rapide-2015.html;INTENS CHARGE RAPIDE;12893.0
2015;http://www.lacentrale.fr/cote-auto-renault-zoe-intens+charge+rapide+type+2-2015.html;INTENS CHARGE RAPIDE TYPE 2;12956.0
2015;http://www.lacentrale.fr/cote-auto-renault-zoe-intens+type+2-2015.html;INTENS TYPE 2;12863.0
2015;http://www.lacentrale.fr/cote-auto-renault-zoe-life-2015.html;LIFE;12088.0
2015;http://www.lacentrale.fr/cote-auto-renault-zoe-life+charge+rapide-2015.html;LIFE CHARGE RAPIDE;12252.0
2015;http://www.lacentrale.fr/cote-auto-renault-zoe-life+charge+rapide+type+2-2015.html;LIFE CHARGE RAPIDE TYPE 2;12317.0
2015;http://www.lacentrale.fr/cote-auto-renault-zoe-life+type+2-2015.html;LIFE TYPE 2;12215.0
2015;http://www.lacentrale.fr/cote-auto-renault-zoe-zen-2015.html;ZEN;12511.0
2015;http://www.lacentrale.fr/cote-auto-renault-zoe-zen+charge+rapide-2015.html;ZEN CHARGE RAPIDE;12671.0
2015;http://www.lacentrale.fr/cote-auto-renault-zoe-zen+charge+rapide+type+2-2015.html;ZEN CHARGE RAPIDE TYPE 2;12735.0
2015;http://www.lacentrale.fr/cote-auto-renault-zoe-zen+type+2-2015.html;ZEN TYPE 2;12638.0
2012;http://www.lacentrale.fr/cote-auto-renault-zoe-intens+charge+rapide-2012.html;INTENS CHARGE RAPIDE;9470.0
