,brand,old_price,price,reduction
0,dell,249.0,159.0,0.3614457831325301
1,dell,349.99,299.0,0.14568987685362442
2,dell,547.5,365.0,0.3333333333333333
3,dell,1049.63,886.8,0.15513085563484288
4,dell,1100.0,850.0,0.22727272727272727
5,dell,779.9,604.9,0.22438774201820746
6,dell,999.0,749.99,0.24925925925925926
7,dell,649.0,499.9,0.2297380585516179
8,dell,499.0,399.99,0.19841683366733465
9,acer,399.0,289.99,0.2732080200501253
10,acer,599.0,499.0,0.1669449081803005
11,acer,699.0,649.99,0.07011444921316165
12,acer,899.0,749.99,0.1657508342602892
13,acer,599.0,349.99,0.4157095158597663
14,acer,699.9,464.9,0.33576225175025004
15,acer,299.0,229.99,0.23080267558528425
16,acer,399.0,299.99,0.24814536340852128
17,acer,399.0,339.99,0.14789473684210525
18,acer,299.0,199.99,0.3311371237458194
19,acer,649.0,499.9,0.2297380585516179
20,acer,399.0,329.99,0.17295739348370925
21,acer,369.99,279.99,0.24324981756263683
22,acer,499.0,399.99,0.19841683366733465
23,acer,499.0,399.99,0.19841683366733465
24,acer,499.0,399.99,0.19841683366733465
25,acer,549.0,429.99,0.216775956284153
26,acer,299.0,199.99,0.3311371237458194
27,acer,599.9,371.0,0.38156359393232203
28,acer,299.0,219.99,0.26424749163879596
29,dell,279.0,149.0,0.4659498207885305
30,dell,532.5,355.0,0.3333333333333333
31,dell,547.5,365.0,0.3333333333333333
32,dell,420.0,320.0,0.23809523809523808
33,dell,8.0,4.12,0.485
34,dell,399.0,139.0,0.6516290726817042
35,acer,499.0,369.99,0.2585370741482966
36,acer,899.0,699.99,0.22136818687430476
37,acer,549.0,499.99,0.08927140255009106
38,acer,399.0,299.99,0.24814536340852128
39,acer,468.0,319.99,0.3162606837606837
40,acer,699.0,649.99,0.07011444921316165
41,acer,999.0,899.99,0.0991091091091091
42,acer,599.0,499.99,0.1652921535893155
43,acer,1299.0,1029.99,0.20709006928406465
44,acer,605.25,413.5,0.31681123502684844
45,acer,1299.0,1099.99,0.15320246343341032
46,acer,999.0,749.99,0.24925925925925926
47,acer,699.0,579.99,0.17025751072961373
48,acer,999.0,899.99,0.0991091091091091
49,acer,899.0,799.99,0.11013348164627362
50,dell,350.0,229.0,0.3457142857142857
51,dell,299.0,229.0,0.23411371237458195
52,dell,350.0,259.0,0.26
53,dell,478.5,319.0,0.3333333333333333
54,dell,487.5,325.0,0.3333333333333333
55,dell,493.5,329.0,0.3333333333333333
56,dell,478.5,319.0,0.3333333333333333
57,dell,478.5,319.0,0.3333333333333333
58,dell,478.5,319.0,0.3333333333333333
59,dell,502.5,335.0,0.3333333333333333
60,dell,517.5,345.0,0.3333333333333333
61,dell,517.5,345.0,0.3333333333333333
